target,regime,requested_delay,taps,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
low-pass,sub-minimum,2.92951816,129,115,1,114,-0.00584879956,-0.0508709385
low-pass,sub-minimum,2.92951816,129,116,1,115,-0.00566953793,-0.0493117796
low-pass,sub-minimum,2.92951816,129,117,1,116,-0.00545146423,-0.0474150462
low-pass,sub-minimum,2.92951816,129,118,1,117,-0.00519823024,-0.0452125001
low-pass,sub-minimum,2.92951816,129,119,1,118,-0.00491495362,-0.042748653
low-pass,sub-minimum,2.92951816,129,120,1,119,-0.00460617304,-0.040062981
low-pass,sub-minimum,2.92951816,129,121,1,120,-0.00427825473,-0.0372108551
low-pass,sub-minimum,2.92951816,129,122,1,121,-0.00393610982,-0.0342349911
low-pass,sub-minimum,2.92951816,129,123,1,122,-0.00358723536,-0.0312005955
low-pass,sub-minimum,2.92951816,129,124,1,123,-0.0032360738,-0.0281463075
low-pass,sub-minimum,2.92951816,129,125,1,124,-0.00289161087,-0.025150282
low-pass,sub-minimum,2.92951816,129,126,1,125,-0.00255584714,-0.0222299194
low-pass,sub-minimum,2.92951816,129,127,1,126,-0.00224243036,-0.0195039231
low-pass,sub-minimum,2.92951816,129,128,1,127,-0.00193939924,-0.0168682579
low-pass,window,5.85903631,129,0,1,-1,0.107124467,0.946643346
low-pass,window,5.85903631,129,1,1,0,0.113162436,1
low-pass,window,5.85903631,129,2,1,1,0.0958108778,0.8466668
low-pass,window,5.85903631,129,3,1,2,0.0855784999,0.756244763
low-pass,window,5.85903631,129,4,1,3,0.0741896529,0.655603178
low-pass,window,5.85903631,129,5,1,4,0.0656116777,0.579800859
low-pass,window,5.85903631,129,6,1,5,0.0571269343,0.504822414
low-pass,window,5.85903631,129,7,1,6,0.0503577167,0.445003823
low-pass,window,5.85903631,129,8,1,7,0.0439034223,0.387968161
low-pass,window,5.85903631,129,9,1,8,0.0386377744,0.341436396
low-pass,window,5.85903631,129,10,1,9,0.0336977369,0.297782002
low-pass,window,5.85903631,129,11,1,10,0.0296258406,0.261799247
low-pass,window,5.85903631,129,12,1,11,0.0258363859,0.228312386
low-pass,window,5.85903631,129,13,1,12,0.022698116,0.200579951
low-pass,window,5.85903631,129,14,1,13,0.0197889418,0.174872002
low-pass,window,5.85903631,129,15,1,14,0.0173758874,0.153548191
low-pass,window,5.85903631,129,16,1,15,0.0151420892,0.133808441
low-pass,window,5.85903631,129,17,1,16,0.013290182,0.117443407
low-pass,window,5.85903631,129,18,1,17,0.0115751363,0.102287797
low-pass,window,5.85903631,129,19,1,18,0.0101562941,0.0897496949
low-pass,window,5.85903631,129,20,1,19,0.00883983386,0.0781163269
low-pass,window,5.85903631,129,21,1,20,0.00775454188,0.0685257594
low-pass,window,5.85903631,129,22,1,21,0.00674431557,0.0595985364
low-pass,window,5.85903631,129,23,1,22,0.00591549489,0.0522743685
low-pass,window,5.85903631,129,24,1,23,0.00514048181,0.0454256905
low-pass,window,5.85903631,129,25,1,24,0.0045085669,0.0398415503
low-pass,window,5.85903631,129,26,1,25,0.00391414459,0.0345887268
low-pass,window,5.85903631,129,27,1,26,0.00343318796,0.0303385829
low-pass,window,5.85903631,129,28,1,27,0.00297735482,0.0263104517
low-pass,window,5.85903631,129,29,1,28,0.00261196915,0.0230815917
low-pass,window,5.85903631,129,30,1,29,0.00226244096,0.0199928619
low-pass,window,5.85903631,129,31,1,30,0.00198541066,0.0175447854
low-pass,window,5.85903631,129,32,1,31,0.00171738492,0.0151762809
low-pass,window,5.85903631,129,33,1,32,0.00150780687,0.0133242701
low-pass,window,5.85903631,129,34,1,33,0.00130223972,0.0115077031
low-pass,window,5.85903631,129,35,1,34,0.00114407973,0.0101100663
low-pass,window,5.85903631,129,36,1,35,0.000986357786,0.00871630037
low-pass,window,5.85903631,129,37,1,36,0.000867331989,0.00766448671
low-pass,window,5.85903631,129,38,1,37,0.000746248484,0.00659448938
low-pass,window,5.85903631,129,39,1,38,0.000656958033,0.00580544264
low-pass,window,5.85903631,129,40,1,39,0.000563924028,0.00498331467
low-pass,window,5.85903631,129,41,1,40,0.000497186715,0.00439356672
low-pass,window,5.85903631,129,42,1,41,0.000425623547,0.00376117341
low-pass,window,5.85903631,129,43,1,42,0.000375958232,0.00332228825
low-pass,window,5.85903631,129,44,1,43,0.000320829913,0.0028351273
low-pass,window,5.85903631,129,45,1,44,0.000284059335,0.00251019105
