target,regime,sample_rate_hz,taps,fft_size,phase_mix,phase_delay_samples,tolerance_db,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,constraint_violation
crossover,continuum,48000,129,1024,1.125,,,3.59345333e-06,0.0243980307,0.0929034485,70.6985548,0.095750446,
crossover,continuum,48000,129,1024,1.25,,,1.44081815e-05,0.0643726735,0.247774152,77.3970817,0.191548502,
crossover,continuum,48000,129,1024,1.375,,,1.70893983e-05,0.0988742031,0.404677433,84.0956412,0.287281629,
crossover,continuum,48000,129,1024,1.5,,,0.000131858174,0.790373774,3.41570798,90.7936806,0.383713096,
crossover,continuum,48000,129,1024,1.625,,,0.000266618716,0.654354357,2.56501611,97.4920413,0.479088001,
crossover,continuum,48000,129,1024,1.75,,,0.000724842021,3.61627779,13.2564924,104.188672,0.581780416,
crossover,continuum,48000,129,1024,1.875,,,0.00255936455,6.38208703,13.9133202,110.882554,0.709233076,
crossover,continuum,48000,129,1024,2,,,1.64045375e-10,2.55087931e-06,2.02265355e-05,117.588494,0.765876194,
crossover,factorisation,48000,129,1024,,0,,1.64045412e-10,2.55088008e-06,2.02265453e-05,10.4115063,0.765876194,
crossover,factorisation,48000,129,1024,,4,,5.93175381e-10,4.35621393e-06,1.55351695e-05,14.4115063,0.765876194,
crossover,factorisation,48000,129,1024,,8,,4.85669488e-09,2.26272588e-05,8.65598942e-05,18.4115062,0.765876186,
crossover,factorisation,48000,129,1024,,12,,1.34428032e-08,8.66230453e-05,0.000317089951,22.4115062,0.76587616,
crossover,factorisation,48000,129,1024,,16,,1.32457946e-07,0.000567857382,0.00202381634,26.411506,0.765875338,
crossover,factorisation,48000,129,1024,,20,,2.78603201e-07,0.00198681993,0.00876906564,30.4115056,0.765874828,
crossover,factorisation,48000,129,1024,,24,,3.11403528e-06,0.0155315835,0.0643396797,34.4114918,0.765866361,
crossover,factorisation,48000,129,1024,,28,,5.75716415e-06,0.0264273146,0.103201125,38.4114792,0.765859659,
crossover,factorisation,48000,129,1024,,32,,6.27440529e-05,0.329922178,1.38561355,42.4116853,0.765495219,
