target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
crossover,budde-iterative,48000,129,1024,16,87,26,61,-2.77739701e-06,-3.189787e-05
crossover,budde-iterative,48000,129,1024,16,88,26,62,-1.70033682e-06,-1.95280411e-05
crossover,budde-iterative,48000,129,1024,16,89,26,63,-8.53918801e-07,-9.80709306e-06
crossover,budde-iterative,48000,129,1024,16,90,26,64,-2.29569083e-07,-2.63655673e-06
crossover,budde-iterative,48000,129,1024,16,91,26,65,2.19071472e-07,2.51599368e-06
crossover,budde-iterative,48000,129,1024,16,92,26,66,5.08227971e-07,5.83690042e-06
crossover,budde-iterative,48000,129,1024,16,93,26,67,6.82710589e-07,7.84079971e-06
crossover,budde-iterative,48000,129,1024,16,94,26,68,7.5719379e-07,8.69622493e-06
crossover,budde-iterative,48000,129,1024,16,95,26,69,7.69052726e-07,8.83242252e-06
crossover,budde-iterative,48000,129,1024,16,96,26,70,7.27555476e-07,8.3558346e-06
crossover,budde-iterative,48000,129,1024,16,97,26,71,6.61007701e-07,7.59154621e-06
crossover,budde-iterative,48000,129,1024,16,98,26,72,5.72714427e-07,6.57751495e-06
crossover,budde-iterative,48000,129,1024,16,99,26,73,4.82666264e-07,5.54332913e-06
crossover,budde-iterative,48000,129,1024,16,100,26,74,3.89316465e-07,4.47122466e-06
crossover,budde-iterative,48000,129,1024,16,101,26,75,3.06116084e-07,3.5156843e-06
crossover,budde-iterative,48000,129,1024,16,102,26,76,2.28336112e-07,2.6223963e-06
crossover,budde-iterative,48000,129,1024,16,103,26,77,1.64825022e-07,1.89298366e-06
crossover,budde-iterative,48000,129,1024,16,104,26,78,1.0925934e-07,1.25482249e-06
crossover,budde-iterative,48000,129,1024,16,105,26,79,6.75382325e-08,7.756636e-07
crossover,budde-iterative,48000,129,1024,16,106,26,80,3.29618105e-08,3.78560049e-07
crossover,budde-iterative,48000,129,1024,16,107,26,81,9.69134067e-09,1.11303182e-07
crossover,budde-iterative,48000,129,1024,16,108,26,82,-8.5638015e-09,-9.83536118e-08
crossover,budde-iterative,48000,129,1024,16,109,26,83,-1.86001221e-08,-2.13618822e-07
crossover,budde-iterative,48000,129,1024,16,110,26,84,-2.5888395e-08,-2.97323233e-07
crossover,budde-iterative,48000,129,1024,16,111,26,85,-2.7744964e-08,-3.18645571e-07
crossover,budde-iterative,48000,129,1024,16,112,26,86,-2.86824301e-08,-3.29412189e-07
crossover,budde-iterative,48000,129,1024,16,113,26,87,6.43348287e-17,7.38873124e-16
crossover,budde-iterative,48000,129,1024,16,114,26,88,-4.81263873e-17,-5.52722294e-16
crossover,budde-iterative,48000,129,1024,16,115,26,89,3.17572502e-17,3.64725906e-16
crossover,budde-iterative,48000,129,1024,16,116,26,90,-1.82521586e-17,-2.09622528e-16
crossover,budde-iterative,48000,129,1024,16,117,26,91,1.13212725e-17,1.30022636e-16
crossover,budde-iterative,48000,129,1024,16,118,26,92,-6.23012856e-18,-7.15518272e-17
crossover,budde-iterative,48000,129,1024,16,119,26,93,3.85193019e-18,4.42386767e-17
crossover,budde-iterative,48000,129,1024,16,120,26,94,-1.90907894e-18,-2.19254042e-17
crossover,budde-iterative,48000,129,1024,16,121,26,95,1.04140529e-18,1.19603393e-17
crossover,budde-iterative,48000,129,1024,16,122,26,96,-3.48576278e-19,-4.00333146e-18
crossover,budde-iterative,48000,129,1024,16,123,26,97,2.82407804e-20,3.24339927e-19
crossover,budde-iterative,48000,129,1024,16,124,26,98,1.29484355e-19,1.48710289e-18
crossover,budde-iterative,48000,129,1024,16,125,26,99,-2.3166991e-19,-2.66068432e-18
crossover,budde-iterative,48000,129,1024,16,126,26,100,1.65208767e-19,1.89739089e-18
crossover,budde-iterative,48000,129,1024,16,127,26,101,-1.74033671e-19,-1.99874321e-18
crossover,budde-iterative,48000,129,1024,16,128,26,102,3.09671412e-20,3.55651656e-19
crossover,phase-interpolation,48000,129,1024,16,0,23,-23,-0.000295988422,-0.00334279981
