target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,frequency_hz,target_magnitude_db,magnitude_db,group_delay_samples,delay_weight
parametric-eq,budde-iterative,48000,129,1024,16,5625,3.98146114e-05,0.011273226,15.6768835,0
parametric-eq,budde-iterative,48000,129,1024,16,5671.875,2.7271828e-05,0.00895642371,15.6660974,0
parametric-eq,budde-iterative,48000,129,1024,16,5718.75,1.86245961e-05,0.00365002102,15.6214235,0
parametric-eq,budde-iterative,48000,129,1024,16,5765.625,1.29662919e-05,-0.00276184685,15.5642743,0
parametric-eq,budde-iterative,48000,129,1024,16,5812.5,9.30514663e-06,-0.00806188195,15.5195399,0
parametric-eq,budde-iterative,48000,129,1024,16,5859.375,6.71253498e-06,-0.0104644648,15.5070488,0
parametric-eq,budde-iterative,48000,129,1024,16,5906.25,4.53697924e-06,-0.00922024901,15.5348086,0
parametric-eq,budde-iterative,48000,129,1024,16,5953.125,2.52565233e-06,-0.00484952488,15.5965009,0
parametric-eq,budde-iterative,48000,129,1024,16,6000,7.70282457e-07,0.00107157381,15.6741131,0
parametric-eq,budde-iterative,48000,129,1024,16,6046.875,-4.92745686e-07,0.00648252581,15.7445597,0
parametric-eq,budde-iterative,48000,129,1024,16,6093.75,-1.11411178e-06,0.00955409882,15.7877221,0
parametric-eq,budde-iterative,48000,129,1024,16,6140.625,-1.16998813e-06,0.00929907287,15.7930896,0
parametric-eq,budde-iterative,48000,129,1024,16,6187.5,-9.43375276e-07,0.00588104607,15.7629635,0
parametric-eq,budde-iterative,48000,129,1024,16,6234.375,-7.77139614e-07,0.000532009608,15.7113978,0
parametric-eq,budde-iterative,48000,129,1024,16,6281.25,-8.96366391e-07,-0.00488512054,15.6593062,0
parametric-eq,budde-iterative,48000,129,1024,16,6328.125,-1.30583066e-06,-0.0085205573,15.6272962,0
parametric-eq,budde-iterative,48000,129,1024,16,6375,-1.81638466e-06,-0.00916979136,15.6286055,0
parametric-eq,budde-iterative,48000,129,1024,16,6421.875,-2.17615601e-06,-0.00667501719,15.6646389,0
parametric-eq,budde-iterative,48000,129,1024,16,6468.75,-2.22467635e-06,-0.00195685108,15.7247374,0
parametric-eq,budde-iterative,48000,129,1024,16,6515.625,-1.98133658e-06,0.00332741377,15.7901909,0
parametric-eq,budde-iterative,48000,129,1024,16,6562.5,-1.6235596e-06,0.00736795337,15.8408832,0
parametric-eq,budde-iterative,48000,129,1024,16,6609.375,-1.37590999e-06,0.00881929468,15.8621241,0
parametric-eq,budde-iterative,48000,129,1024,16,6656.25,-1.38011916e-06,0.0072419825,15.849397,0
parametric-eq,budde-iterative,48000,129,1024,16,6703.125,-1.62145071e-06,0.00323029508,15.8096218,0
parametric-eq,budde-iterative,48000,129,1024,16,6750,-1.94918394e-06,-0.00180724149,15.7586543,0
parametric-eq,budde-iterative,48000,129,1024,16,6796.875,-2.17277611e-06,-0.00613735905,15.7158452,0
parametric-eq,budde-iterative,48000,129,1024,16,6843.75,-2.17364722e-06,-0.00829667239,15.6974187,0
parametric-eq,budde-iterative,48000,129,1024,16,6890.625,-1.96798146e-06,-0.00758822848,15.7109247,0
parametric-eq,budde-iterative,48000,129,1024,16,6937.5,-1.68833822e-06,-0.00430752098,15.7527595,0
parametric-eq,budde-iterative,48000,129,1024,16,6984.375,-1.50022201e-06,0.000378335606,15.8096441,0
parametric-eq,budde-iterative,48000,129,1024,16,7031.25,-1.50556353e-06,0.00484838527,15.8634293,0
parametric-eq,budde-iterative,48000,129,1024,16,7078.125,-1.68891393e-06,0.0075888626,15.8973945,0
parametric-eq,budde-iterative,48000,129,1024,16,7125,-1.93408442e-06,0.00770203534,15.9018237,0
parametric-eq,budde-iterative,48000,129,1024,16,7171.875,-2.09706353e-06,0.00519552545,15.8770793,0
parametric-eq,budde-iterative,48000,129,1024,16,7218.75,-2.09000245e-06,0.000963506926,15.8333002,0
parametric-eq,budde-iterative,48000,129,1024,16,7265.625,-1.92774517e-06,-0.00352830919,15.7868845,0
parametric-eq,budde-iterative,48000,129,1024,16,7312.5,-1.71283905e-06,-0.00674711314,15.7548879,0
parametric-eq,budde-iterative,48000,129,1024,16,7359.375,-1.57149858e-06,-0.00761636868,15.7491864,0
parametric-eq,budde-iterative,48000,129,1024,16,7406.25,-1.58009583e-06,-0.00587800784,15.772439,0
parametric-eq,budde-iterative,48000,129,1024,16,7453.125,-1.72464066e-06,-0.00216787631,15.8173095,0
parametric-eq,budde-iterative,48000,129,1024,16,7500,-1.91428714e-06,0.00221809298,15.8691952,0
parametric-eq,budde-iterative,48000,129,1024,16,7546.875,-2.0378532e-06,0.00577846578,15.9113865,0
parametric-eq,budde-iterative,48000,129,1024,16,7593.75,-2.02853059e-06,0.00731915473,15.9307662,0
parametric-eq,budde-iterative,48000,129,1024,16,7640.625,-1.89941116e-06,0.00635010594,15.9221182,0
parametric-eq,budde-iterative,48000,129,1024,16,7687.5,-1.73131789e-06,0.00323798354,15.8897172,0
parametric-eq,budde-iterative,48000,129,1024,16,7734.375,-1.62269428e-06,-0.000929918391,15.845771,0
parametric-eq,budde-iterative,48000,129,1024,16,7781.25,-1.63234489e-06,-0.0047221549,15.8062404,0
parametric-eq,budde-iterative,48000,129,1024,16,7828.125,-1.74809674e-06,-0.00685331146,15.7853897,0
parametric-eq,budde-iterative,48000,129,1024,16,7875,-1.89777011e-06,-0.00662112945,15.7909071,0
parametric-eq,budde-iterative,48000,129,1024,16,7921.875,-1.99379529e-06,-0.00413939958,15.821325,0
parametric-eq,budde-iterative,48000,129,1024,16,7968.75,-1.98412348e-06,-0.000286747771,15.8666674,0
parametric-eq,budde-iterative,48000,129,1024,16,8015.625,-1.88002739e-06,0.00360634302,15.912039,0
parametric-eq,budde-iterative,48000,129,1024,16,8062.5,-1.74620223e-06,0.00621785637,15.942798,0
parametric-eq,budde-iterative,48000,129,1024,16,8109.375,-1.66088347e-06,0.00668110652,15.9494797,0
parametric-eq,budde-iterative,48000,129,1024,16,8156.25,-1.67037939e-06,0.00486914908,15.930861,0
parametric-eq,budde-iterative,48000,129,1024,16,8203.125,-1.76428104e-06,0.00142677294,15.8942444,0
parametric-eq,budde-iterative,48000,129,1024,16,8250,-1.8844039e-06,-0.00245640345,15.8529233,0
parametric-eq,budde-iterative,48000,129,1024,16,8296.875,-1.96056966e-06,-0.0054545906,15.8216483,0
parametric-eq,budde-iterative,48000,129,1024,16,8343.75,-1.95138011e-06,-0.00655844773,15.8115869,0
parametric-eq,budde-iterative,48000,129,1024,16,8390.625,-1.86642816e-06,-0.00541662561,15.8265125,0
parametric-eq,budde-iterative,48000,129,1024,16,8437.5,-1.75821121e-06,-0.00244792836,15.8615873,0
parametric-eq,budde-iterative,48000,129,1024,16,8484.375,-1.68991721e-06,0.0013129028,15.9051602,0
parametric-eq,budde-iterative,48000,129,1024,16,8531.25,-1.69871931e-06,0.00457754692,15.9428779,0
parametric-eq,budde-iterative,48000,129,1024,16,8578.125,-1.77578759e-06,0.00624520357,15.9626003,0
parametric-eq,budde-iterative,48000,129,1024,16,8625,-1.87361214e-06,0.00577132022,15.958434,0
parametric-eq,budde-iterative,48000,129,1024,16,8671.875,-1.93509902e-06,0.00334306086,15.9326023,0
parametric-eq,budde-iterative,48000,129,1024,16,8718.75,-1.92673133e-06,-0.000192682288,15.8946062,0
parametric-eq,budde-iterative,48000,129,1024,16,8765.625,-1.85663073e-06,-0.00362221486,15.8579726,0
parametric-eq,budde-iterative,48000,129,1024,16,8812.5,-1.76791677e-06,-0.00578030237,15.8356426,0
parametric-eq,budde-iterative,48000,129,1024,16,8859.375,-1.71234693e-06,-0.00594698239,15.8355474,0
parametric-eq,budde-iterative,48000,129,1024,16,8906.25,-1.7202573e-06,-0.00408923414,15.8579182,0
parametric-eq,budde-iterative,48000,129,1024,16,8953.125,-1.78418026e-06,-0.000864110063,15.8952983,0
parametric-eq,budde-iterative,48000,129,1024,16,9000,-1.86487472e-06,0.00261502863,15.9352204,0
parametric-eq,budde-iterative,48000,129,1024,16,9046.875,-1.91527615e-06,0.00516392194,15.9645425,0
parametric-eq,budde-iterative,48000,129,1024,16,9093.75,-1.90782937e-06,0.00592943202,15.973896,0
parametric-eq,budde-iterative,48000,129,1024,16,9140.625,-1.84940028e-06,0.00467275004,15.9607641,0
parametric-eq,budde-iterative,48000,129,1024,16,9187.5,-1.77579207e-06,0.00184233627,15.9302337,0
parametric-eq,budde-iterative,48000,129,1024,16,9234.375,-1.72992589e-06,-0.00158444565,15.8932214,0
parametric-eq,budde-iterative,48000,129,1024,16,9281.25,-1.73691421e-06,-0.00443682507,15.8627541,0
parametric-eq,budde-iterative,48000,129,1024,16,9328.125,-1.79044326e-06,-0.00575029439,15.8495236,0
