target,regime,sample_rate_hz,taps,fft_size,requested_delay,minimum_phase_delay,phase_mix,predicted_delay,iterations,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple
deep-notch,window,48000,129,1024,84.7621875,8.63416656,1.375,84.7621875,0,0.00229706266,1.47668144,15.3191071,84.7417884,2.36356229
deep-notch,window,48000,129,1024,91.6829167,8.63416656,1.5,91.6829167,0,0.00192329971,0.839866142,9.94209751,91.6802342,3.07709179
deep-notch,window,48000,129,1024,98.6036459,8.63416656,1.625,98.6036459,0,0.00558075025,2.58693335,21.3422664,98.5353823,3.99768235
deep-notch,window,48000,129,1024,105.524375,8.63416656,1.75,105.524375,0,0.0062082901,3.08331827,24.9408114,105.450064,4.67266418
deep-notch,window,48000,129,1024,112.445104,8.63416656,1.875,112.445104,0,0.00232874631,2.21499951,19.6159971,112.42776,5.24241798
deep-notch,window,48000,129,1024,119.365833,8.63416656,2,119.365833,0,7.19105202e-05,0.0837766963,1.19091633,119.365833,5.96875162
deep-notch,super-maximum,48000,129,1024,121.524375,8.63416656,,,320,0.00702731985,3.51172073,26.8340521,121.524375,4.54819568
deep-notch,super-maximum,48000,129,1024,123.682917,8.63416656,,,292,0.0278885753,5.05993032,35.3802578,123.682916,4.03281016
deep-notch,super-maximum,48000,129,1024,125.841458,8.63416656,,,317,0.05748825,5.83189021,39.1134292,125.841458,7.15060435
room-correction,sub-minimum,48000,129,1024,0.125480199,0.501920795,,,257,0.0526057807,1.25200007,8.95918946,0.125487268,4.02235083
room-correction,sub-minimum,48000,129,1024,0.250960397,0.501920795,,,243,0.0346477136,1.03242845,7.90344934,0.25096551,2.06421454
room-correction,sub-minimum,48000,129,1024,0.376440596,0.501920795,,,214,0.0163286335,0.662061469,5.54481216,0.376442902,1.2154254
room-correction,window,48000,129,1024,0.501920795,0.501920795,0,0.501920795,0,0.000362513611,0.0232884322,0.273904236,0.501920795,1.21845563
